宸纶,1.帝王的诏书﹑制令。
冬住,"1.亦称""冬除""。 
2.冬至节的前一天。"
冬装,冬季穿的御寒的服装。
咚咚,1.象声词。
鸫鵭,1.鸟名。
涷泷,1.沾湿貌。
涷馁,"1.饥寒交迫。涷，通""冻""。"
涷雨,1.暴雨。
菄风,1.即东风菜。广东一带出产的一种菜名。
董笔,"1.见""董狐笔""。"
董必武(1886-1975),中国无产阶级革命家，中国共产党创始人之一〓北黄安(今红安)人。1911年加入同盟会，参加辛亥革命。1921年出席中国共产党第一次全国代表大会。曾任中共汉口地方委员会书记、中华苏维埃共和国最高法院院长、中共中央党校校长。抗日战争爆发后，任中共中央长江局委员、南方局常委，在国民党统治区从事抗日民族统一战线工作。抗战胜利后，任中共中央政治局委员、南方局书记，参与领导重庆、南京中共代表团的工作。建国后，历任政务院副总理兼政法委员会主任、最高人民法院院长、全国政协副主席、中共中央监委书记、中华人民共和国代理主席、全国人大常委会副委员长、中共中央政治局常委。曾对新中国的政权建设和法制建设作出重大贡献。主要著作编为《董必武选集》。
董成,1.主持和谈。
董道,1.守正道。
董狐笔,"1.指春秋时晋国史官董狐在史策上直书晋卿赵盾弑其君的事◇用以称直笔记事﹑无所忌讳的笔法为""董狐笔""。"
董解元,金代戏曲作家。生平不详，解元”系当时对读书人的敬称。著有《西厢记诸宫调》，通称《董西厢》，是今存宋、金诸宫调中最完整的作品。
董酒,贵州遵义出产的一种白酒 。
董理,"1.监督管理。 
2.整理。"
董率,"1.亦作""董帅""。 
2.统率;领导。"
董齐,"1.谓征伐之使归一统。 
2.统率;领导。"
董劝,1.督导劝勉。
董摄,"1.监督整饬。 
2.督导统率。"
董事会,某些企业或学校、团体等的领导机构。
董帅,"1.见""董率""。"
董司,"1.监督掌管。 
2.指掌管军政之人。"
董逃歌,1.东汉灵帝时童谣。内容写董卓跋扈，纵其残暴，终归逃窜，至于灭族。辞载《后汉书．五行志一》。
董统,1.督导统率。
董帷,"1.《汉书．董仲舒传》""﹝董仲舒﹞下帷讲诵，弟子传以久次相授业，或莫见其面，盖三年不窥园，其精如此。""后因以""董帷""指授课之处。"
董一,1.统一主持;一统。
董卓(?-192),东汉末年军阀。字仲颖，陇西临洮(今甘肃岷县)人。曾参与镇压黄巾起义和羌人起义。公元189年，应大将军何进之召，率兵进京诛灭宦官。不久废少帝，立献帝，专断朝政。残暴专横，胁迫献帝迁都长安，纵火焚烧洛阳宫室，对社会造成极大破坏◇被王允、吕布所杀。
董作,1.监督工程。
懂得,知道（意义、做法等）～规矩 ㄧ你～这句话的意思吗？
懂事,了解别人的意图或一般事理～明理ㄧ这孩子很～。
懂行,熟悉某一种业务向～的人请教 。
懂眼,1.识货，内行。
蕫蓈,1.狼尾草的别名。见明李时珍《本草纲目．谷二．狼尾草》。
动本,1.谓向皇帝上书。本，奏本。
动笔,用笔写或画（多指开始写或画）；落笔好久没～了ㄧ～之前，先要想一想。
动变,1.变动;变异。
动兵,出动军队打仗。
动不动,表示很容易产生某种行动 或情况（多指不希望发生的），常跟‘就’连用～就感冒ㄧ～就发脾气。
动步,1.迈步前行。
动产,可以移动的财产，指金钱、器物等。
动程,1.起程;出发。
动秤儿,1.方言。开始干;干实事。
动词,表示人或事物的动作、存在、变化的词，如‘走、笑、有、在、看、写、飞、落、保护、开始、起来、上去’。
动粗,1.粗暴待人。多指动手打。
动弹,（人、动物或能转动的东西）活动两脚发木，～不得ㄧ风车不～了。
动荡,①波浪起伏湖水～。②比喻局势、情况不稳定；不平静社会～ㄧ～不安ㄧ～的年代。
动地,1.震撼大地。
动定,"1.谓起居作息。 
2.犹动静，情况。"
动亸,"1.见""动弹""。"
动肝火,指发脾气；发怒有话慢慢说，不要～。
动感,指绘画、雕刻、文艺作品中的形象等给人以栩栩如生的感觉塑像极富～。
动工,①开工（指土木工程 ）～不到三个月，就完成了全部工程的一半。②施工这里正在～，车辆不能通过。
动撼,1.指触动。
动滑轮,位置不固定的滑轮，使用时整个滑轮发生位移。使用这种滑轮可以省力。
动化,1.感化。
动画片,美术片的一种，把人、物的表情、动作、变化等分段画成许多画幅，再用摄影机连续拍摄而成。
动画片儿,动画片。
动换,动弹；活动车内太挤，人都没法～了。
动火,（～儿）发怒什么事值得这么～ㄧ他一听这话就动起火来。
动机,推动人从事某种行为的念头～好，方法不对头，也会把事办坏。
动机论,在道德评价中主张根据人的主观愿望来确定行为的道德意义的理论。与效果论”相对。认为人的行为善恶取决于动机是否善良，而与行为所产生的效果无关；判断或评价行为的善恶只须看动机，不必看效果。这种理论割裂了动机与效果的辩证统一关系，是片面的。参见动机与效果”。
动机与效果,动机指人行动的主观愿望；效果指人实践的客观后果。任何行为都是由一定动机引起的，动机是效果的行动指导。效果是动机的行动体现和检验根据。动机和效果是统一的，但两者的统一是一个复杂曲折的过程。有时客观效果并不能完全反映动机，好的动机不一定收到好的效果。判断任何事情既要看动机，又要看效果。
动悸,"1.谓感情受触动而心跳加快。 
2.谓感情因受刺激而动荡。"
动脚,1.动身，启程。
动劲儿,〈方〉使力气。
动竞,1.犹奔竞。谓追逐名利。
动静,①动作或说话的声音屋子里静悄悄的，一点～也没有。②（打听或侦察的）情况察看对方的～ㄧ一有～，要马上报告。
动举,"1.推动举起。 
2.举止动作。"
动口,"1.谓吃东西。 
2.指说话;讲理。"
动劳,1.烦劳，麻烦。
动力,①使机械作功的各种作用力，如水力、风力、电力、畜力等。②比喻推动工作、事业等前进和发展的力量人民是创造世界历史的～。
动力机,发动机。
动力学,力学的一部分。研究物体机械运动状态变化与外力的关系。对宏观物体的低速运动，它的基本理论是牛顿运动理论；对宏观物体的近光速运动，要用相对论力学来研究；对微观粒子的运动，要用量子力学来研究。
动量,表示运动物体运动特性的一种物理量。动量是一个矢量，它的方向和物体运动的方向相同，它的大小等于运动物体的质量和速度的乘积。
动量定理,物理学中的基本定理之一。描述冲量和物体动量改变的定量关系。物体所受合外力的冲量等于在相应时间内物体动量的增量∠外力的冲量和物体初动量方向相同(或相反)时，物体动量增大(或减小)的量等于冲量。
动量守恒定律,物理学中的重要定律之一。物体系在不受外力作用或所受合外力为零时，系统的总动量保持不变。物体系所受外力不为零，但在某一方向上外力的分力为零时，总动量在该方向上的分量保持不变。
动乱,（社会 ）骚动变乱。
动轮,机车或其他机械上跟动力直接相连的轮子。
动脉,①把心脏中压出来的血液输送到全身各部分的血管。②比喻重要的交通干线。
动脉弓,主动脉弓。
动脉硬化,病，动脉管壁增厚，弹性减弱，管腔狭窄，甚至完全堵塞。多由高血压、血液中胆固醇含量增多等引起。
动脉粥样硬化,动脉硬化的一种，大、中动脉内膜出现含胆固醇、类脂肪等的黄色物质，多由脂肪代谢紊乱、神经血管功能失调引起。常导致血栓形成、供血障碍等。也叫粥样硬化。
动蛮,1.方言。指动手打人等野蛮行为。
动摩擦,接触物体之间保持相对运动时的摩擦。
动目,1.目光被引动;使人注目。
动脑筋,1.用脑筋想;出主意。
动能,物体由于机械运动而具有的能，它的大小是运动物体的质量和速度平方乘积的1／2。
动能定理,描述做功和物体动能变化的定量关系∠外力对物体所做的功等于物体动能的增量∠外力对物体做多少正功(或负功)，物体动能就增加(或减少)多少。
动念,"1.犹动心。 
2.犹思忖。"
动怒,发怒。
动魄,1.谓内心受到强烈震动。
动魄惊心,1.形容使人感受很深，震动很大。
动起,1.方言。动不动。
动气,生气病中不宜～ㄧ我从来没有看见他动过气。
动迁,1.因原建筑拆除而搬迁。
动迁户,1.指城市里因建筑施工等原因而动迁的住户。
动情,①情绪激动她越说越～，泪水哗哗直流。②产生爱慕的感情。
动人,感动人美丽～ㄧ～的歌声 。
动人心魄,1.形容使人感动或震惊。
动人心弦,激动人心；非常动人这是个多么～的场面，也说动人心魄。
动容,脸上出现受感动的表情观者无不为之～。
动搈,"1.见""动容""。"
动溶,"1.见""动容""。"
动色,"1.谓脸上显出受感动的表情。 
2.谓景色变化。"
动身,启程；出发行李都打好了，明天早上就～。
动使,1.日常应用的器具。
动事,"1.谓治理经国大业。 
2.指日常应用器具。"
动手,①开始做；做早点儿～早点儿完ㄧ大家一齐～。②用手接触展览品只许看，不许～。③指打人两人说着说着就动起手来了。
动手动脚,"1.谓男女间挑逗﹑戏弄一类的举动。 
2.指动手打人。 
3.指实际着手去做某一件事情。"
动态,①（事情）变化发展的情况科技～ㄧ从这些图片里可以看出我国建设的～。②艺术形象表现出的活动神态画中人物，～各异，栩栩如生。③运动变化状态的或从运动变化状态考察的～工作点ㄧ～电流ㄧ～分析。
动听,听起来使人感动或者感觉有兴趣娓娓～ㄧ极平常的事儿，让他说起来就很～。
动土,刨地（多用于建筑、安葬等）。
动微,1.洞察精微。
动问,客套话，请问不敢～，您是从北京来的吗？
动武,使用武力（包括殴打、发动战争）。
动杌,1.动摇。
动物,生物的一大类，这一类生物多以有机物为食料，有神经，有感觉，能运动。
动物纤维,来源于动物的纤维，如蚕丝、羊毛等。
动物心理学,又称比较心理学”。研究不同进化水平的动物的行为特点及其规律的心理学分支学科。任务是对动物行为进行描述、分析和分类，比较不同种动物的行为的生物学特征并确定和阐明它们之间的关系等。
动物学,研究动物的形态、生理、生态、分类、分布和怎样控制动物的学科。
动物油,从动物取得的油脂，如牛油、猪油、鲸油等。供食用，也可以做润滑剂和化工原料。
动物园,饲养许多种动物（特别是科学上有价值或当地罕见的动物 ），供人观赏的公园。
动悟,1.感悟。
动息,"1.指出仕与退隐。 
2.活动与休息。 
3.引申为人的动止起居。 
4.犹动静。情况，消息。"
动向,活动或发展的方向思想～ㄧ市场～ㄧ侦察敌人的～。
动销,1.开始销售。
动心,思想、感情发生波动见财不～ㄧ经人一说，他也就动了心了。
动心忍性,"1.《孟子．告子下》""所以动心忍性，曾益其所不能。""赵岐注""所以惊动其心，坚忍其性，使不违仁。""后多指不顾外界阻力，坚持下去。"
动刑,施用刑具。
动行,1.施行;走动;行动。
动眼神经,第三对脑神经，从大脑脚发出，分布在眼球的肌肉上，主管眼球的运动。
动摇,①不稳固；不坚定～分子ㄧ意志坚定，绝不～。②使动摇～军心ㄧ环境再艰苦也～不了这批青年征服自然的决心。
动议,会议中的建议（一般指临时的）紧急～。
动因,1.动力和原因。
动用,使用～公款ㄧ～武力 ㄧ不得随意～库存粮食。
动员,①把国家的武装力量由和平状态转入战时状态，以及把所有的经济部门（工业、农业运输业等）转入供应战争需要的工作。②发动人参加某项活动～报告 ㄧ全体～，大搞卫生。
动跃,"1.萌动。 
2.跳动。"
动粘,1.古代西南部族名。
动辄,〈书〉动不动就～得咎ㄧ～恶语相加。
定说,确定的说法这种病的起因尚无～。
定朔,1.我国古代历法家以日﹑月黄经度相等的时刻定为朔。以这天为朔日，称定朔。定朔较平朔更为精确。南朝宋何承天首倡，唐初始采用。
定算,1.确定的主意，打算。
定所,1.固定的住所﹑居处。
定桃,1.甜瓜的一个品种。
定体,"1.支配躯体。 
2.确定性质。 
3.固定不变的形态或性质。 
4.固定的体例﹑体式。"
定帖,1.宋代定婚时双方交换的帖子。其上写明家庭﹑本人及有关的详细情况。
定王台,1.台名。相传汉景帝子长沙定王刘发为想望其母唐姬而建。在今湖南省长沙县东。
定位,①用仪器对物体所在的位置进行测量。②经测量后确定的位置。③把事物放在适当的地位并做出某种评价循名～ㄧ抓好产品价值～。
定问,"1.确切的消息。问，消息音信。 
2.指""问名""等聘婚手续。定，聘定。"
定武兰亭,"1.《帖》石刻名。唐太宗喜晋王羲之父子书法，得《兰亭序》真迹，命人临拓，刻于学士院。五代梁时移置汴都，后经战乱而遗失，北宋庆历间发现，置于定州州治。大观中，徽宗命取其石，置于宣和殿。北宋亡，石亦散失不传。定州在宋时属定武军，故称此石刻及其拓本为""定武兰亭""或""定武石刻""。其拓本简称""定本""。一说《帖》原本为唐人所作，非王羲之书。参阅宋桑世昌《兰亭考》﹑郭沫若等《兰亭论辨》。"
定武石,1.定武石刻。
定武石刻,1.即定武《兰亭》。亦兼指其拓本。
定物,1.定聘的礼物。
定西番,1.词牌名。本唐教坊曲名。双调，正体三十五字，前后段各四句，平韵间仄韵。又有四十一字者，前后段皆平韵。参阅《词谱》卷二。
定息,我国私营工商业实行全行业公私合营后，国家对工商业者的资产进行核定，在一定时期内按固定利率每年付给的利息。
定弦,（～儿）①调整乐器弦的松紧以校正音高。②〈方〉比喻打定主意你先别追问我，我还没～呢。
定限,1.一定的量或期限。
定香剂,香精中香气较持久、挥发较缓慢的香料。一般分子量较大，是香精的重要组分。如安息香、檀香油、麝香等。
定向,①测定方向～台（装有特种接收设备，能测定被测电台电波发射方向的无线电台）。②指有一定方向～爆破ㄧ～招生。
定向能武器,向一定方向发射的高能量射束，以击毁敌方飞机、导弹和卫星等目标的武器。高能量射束主要是指强激光、高能强流粒子(电子、质子和离子)和强电磁波。定向能武器的特点是能量高度集中，命中率高，能迅速改变发射方向，短时间内拦截或攻击多个目标。
定向培养,高等学校为特定的地区或行业培养人才。1985年《中共中央关于教育体制改革的决定》指出为了保证边远地区及工作环境比较艰苦的行业能分配到一定数量的毕业生，应按国家招生计划的一定比例实行定向招生，到这些地方工作的毕业生待遇从优。”定向分配的学生实行定期服务制度，服务期满后可合理流动。
定向培育,利用一定的生活环境促使动植物的遗传性向人们所要求的方向变化，如提高耐寒性、抗病能力等。
定向天线,有方向性的天线，在接收机上常作环形，在雷达通讯设备上常作凹面镜形。
定心丸,（～儿）比喻能使思想、情绪安定下来的言论或行动。
定刑,审判机关认定犯人应判处某种刑罚～过重。
定形,"1.使形状固定。 
2.固定的形体或形状。"
定型,事物的特点逐渐形成并固定下来。
定性,对犯有错误或罪行的人，确定其问题的性质这个案子～准确，量刑恰当。
定性分析,分析化学上测定某种物质含有哪些成分的方法。
定验,1.判断检验。
定谳,"1.指司法上的定案。谳，议罪。 
2.犹定论。"
